Pays;Adresse;Ville;Région;Gare - code uic;Gare;Type de point de vente;CodePostal;CB;Espèces;Chèque
FRANCE;PLACE DE LA GARE  42095  FIRMINY AVENUE DE LA GARE;FIRMINY;AUVERGNE- RHONE ALPES;87726729;FIRMINY;Poste de vente guichet;42700;Oui;Oui;Oui
FRANCE;ROUTE DE ST JUST SUR LOIRE ROUTE DE ST JUST SUR LOIRE;BONSON;AUVERGNE- RHONE ALPES;87726414;BONSON;Poste de vente guichet;42160;Oui;Oui;Oui
FRANCE;GARE SNCF - 43110  AUREC SUR LOIRE RUE DE LA LOIRE;AUREC-SUR-LOIRE;AUVERGNE- RHONE ALPES;87726760;AUREC;Automates TER;43110;Oui;Non;Non
FRANCE;FRAISSE UNIEUX GARE;FRAISSES;AUVERGNE- RHONE ALPES;87726737;FRAISSES;Automates TER;42490;Oui;Non;Non
FRANCE;GARE SNCF - 63400  CHAMALIERES PLACE DE LA GARE;ROYAT;AUVERGNE- RHONE ALPES;87734038;ROYAT CHAMALIERES (63);Automates TER;63400;Oui;Non;Non
FRANCE;GARE SNCF - 42510  BALBIGNY 1 PLACE DE LA GARE;BALBIGNY;AUVERGNE- RHONE ALPES;87726869;BALBIGNY;Automates TER;42510;Oui;Oui;Non
FRANCE;HALTE SNCF;PONT DU CHATEAU;AUVERGNE- RHONE ALPES;87734087;PONT DU CHATEAU;Automates TER;63430;Oui;Non;Non
FRANCE;GARE SNCF - 42110  FEURS 32 AVENUE JEAN JAURÉS;FEURS;AUVERGNE- RHONE ALPES;87726877;FEURS;Automates TER;42110;Oui;Non;Non
FRANCE;VIC LE COMTE GARE IMPASSE DE LA GARE;VIC-LE-COMTE;AUVERGNE- RHONE ALPES;87734186;VIC LE COMTE;Automates TER;63270;Oui;Oui;Non
FRANCE;1 PLACE DE LA GARE;VICHY;AUVERGNE- RHONE ALPES;87732008;VICHY;Automates TER;3200;Oui;Oui;Non
FRANCE;GARE SNCF - 63570  BRASSAC LES MINES RUE DU GÉNÉRAL FRANTZ;BRASSAC-LES-MINES;AUVERGNE- RHONE ALPES;87734244;BRASSAC LES MINES STE FLORINE;Automates TER;63570;Oui;Oui;Non
FRANCE;BOULEVARD VIVIER MERLE;LYON;AUVERGNE- RHONE ALPES;87733543;LYON PD - ESPACE LSA;Poste de vente guichet;69003;Oui;Oui;Oui
FRANCE;GARE SNCF - 43100  BRIOUDE GARE SNCF DE BRIOUDE;BRIOUDE;AUVERGNE- RHONE ALPES;87734269;BRIOUDE;Poste de vente guichet;43100;Oui;Oui;Oui
FRANCE;40 AVENUE DE L'UNION SOVIÉTIQUE;CLERMONT-FERRAND;AUVERGNE- RHONE ALPES;87734004;CLERMONT FERRAND;Automates TGV-Intercités;63000;Oui;Non;Non
FRANCE;VERTAIZON GARE GARE SNCF DE VERTAIZONIMPASSE DE LA GARE;VERTAIZON;AUVERGNE- RHONE ALPES;87734426;VERTAIZON;Automates TER;63910;Oui;Non;Non
FRANCE;40 AVENUE DE L'UNION SOVIÉTIQUE;CLERMONT-FERRAND;AUVERGNE- RHONE ALPES;87734004;CLERMONT FERRAND;Poste de vente guichet;63000;Oui;Oui;Oui
FRANCE;GARE SNCF - 63190  LEZOUX RUE DE LA GARE;LEZOUX;AUVERGNE- RHONE ALPES;87734442;LEZOUX;Automates TER;63190;Oui;Non;Non
FRANCE;LES MARTRES DE VEYRE GARE AVENUE DE LA GARE;MARTRES-DE-VEYRE;AUVERGNE- RHONE ALPES;87734178;LES MARTRES DE VEYRE;Automates TER;63730;Oui;Oui;Non
FRANCE;THIERS GARE;THIERS;AUVERGNE- RHONE ALPES;87734475;THIERS;Automates TER;63300;Oui;Non;Non
FRANCE;PARENT COUDES CHAMPEIX GARE;PARENT;AUVERGNE- RHONE ALPES;87734194;PARENT COUDES CHAMPEIX;Automates TER;63270;Oui;Non;Non
FRANCE;GARE SNCF - 38480  LE PONT DE BEAUVOISIN PLACE DE LA GARE;PONT-DE-BEAUVOISIN;AUVERGNE- RHONE ALPES;87741470;PONT DE BEAUVOISIN;Automates TER;38480;Oui;Oui;Non
FRANCE;GARE SNCF - 43360  ARVANT GARE SNCF D'ARVANTPLACE DE LA GARE;BOURNONCLE-SAINT-PIERRE;AUVERGNE- RHONE ALPES;87734251;ARVANT;Poste de vente guichet;43360;Oui;Oui;Oui
FRANCE;134 RUE GREFFIE DE BELLECOMBE  73181  MOUTIERS RUE GREYFFIÉ DE BELLECOMBE;MOÛTIERS;AUVERGNE- RHONE ALPES;87741728;MOUTIERS SALINS BRIDES L BAINS;Automates TER;73600;Oui;Oui;Non
FRANCE;LANGEAC GARE GARE SNCF DE LANGEAC;LANGEAC;AUVERGNE- RHONE ALPES;87734319;LANGEAC;Poste de vente guichet;43300;Oui;Oui;Oui
FRANCE;GARE SNCF - 73210  AIME 128 AVENUE DE LA GARE;AIME-LA-PLAGNE;AUVERGNE- RHONE ALPES;87741769;AIME LA PLAGNE;Automates TER;73210;Oui;Non;Non
FRANCE;PLACE MARÉCHAL LECLERC;PUY-EN-VELAY;AUVERGNE- RHONE ALPES;87734699;LE PUY EN VELAY;Poste de vente guichet;43000;Oui;Oui;Oui
FRANCE;PLACE VAILLANT COUTURIER;OYONNAX;AUVERGNE- RHONE ALPES;87743534;OYONNAX;Poste de vente guichet;1100;Oui;Oui;Oui
FRANCE;AVENUE DE LA GARE;RETOURNAC;AUVERGNE- RHONE ALPES;87734749;RETOURNAC;Automates TER;43130;Oui;Non;Non
FRANCE;PLACE DE LA GARE PLACE DE LA GARE;AMBÉRIEU-EN-BUGEY;AUVERGNE- RHONE ALPES;87743716;AMBERIEU EN BUGEY;Poste de vente guichet;1500;Oui;Oui;Oui
FRANCE;PLACE DE LA GARE BP 1043;CHAMBÉRY;AUVERGNE- RHONE ALPES;87741009;CHAMBERY CHALLES LES EAUX;Automates TGV-Intercités;73000;Oui;Non;Non
FRANCE;BELLEGARDE (AIN) GARE RUE FAVRE & PERREARD;BELLEGARDE-SUR-VALSERINE;AUVERGNE- RHONE ALPES;87745000;BELLEGARDE-SUR-VALSERINE GARE;Automates TER;1200;Oui;Oui;Non
FRANCE;PLACE DE LA GARE BP 1043;CHAMBÉRY;AUVERGNE- RHONE ALPES;87741009;CHAMBERY CHALLES LES EAUX;Poste de vente guichet;73000;Oui;Oui;Oui
FRANCE;BELLEGARDE (AIN) GARE RUE FAVRE & PERREARD;BELLEGARDE-SUR-VALSERINE;AUVERGNE- RHONE ALPES;87745000;BELLEGARDE-SUR-VALSERINE GARE;Poste de vente guichet;1200;Oui;Oui;Oui
FRANCE;PLACE PIERRE SEMARD PLACE PIERRE SEMARD;CULOZ;AUVERGNE- RHONE ALPES;87741074;CULOZ;Poste de vente guichet;1350;Oui;Oui;Oui
FRANCE;2 RUE LOUIS ARMAND  74243  SAINT-JULIEN-EN-GENEVOI RUE LOUIS-ARMAND;SAINT-JULIEN-EN-GENEVOIS;AUVERGNE- RHONE ALPES;87745430;ST JULIEN EN GENEVOIS;Automates TER;74160;Oui;Non;Non
FRANCE;BOULEVARD WILSON;AIX-LES-BAINS;AUVERGNE- RHONE ALPES;87741132;AIX LES BAINS - LE REVARD;Automates TGV-Intercités;73100;Oui;Non;Non
FRANCE;PLACE DE LA GARE;ANNEMASSE;AUVERGNE- RHONE ALPES;87745497;ANNEMASSE;Poste de vente guichet;74100;Oui;Oui;Oui
FRANCE;AVENUE DE LA GARE PLACE DE LA GARE;MONTMÉLIAN;AUVERGNE- RHONE ALPES;87741181;MONTMELIAN;Automates TER;73800;Oui;Oui;Non
FRANCE;PLACE DE LA GARE PLACE DE LA GARE;BONS-EN-CHABLAIS;AUVERGNE- RHONE ALPES;87745596;BONS EN CHABLAIS;Automates TER;74890;Oui;Oui;Non
FRANCE;AVENUE DE LA GARE PLACE DE LA GARE;MONTMÉLIAN;AUVERGNE- RHONE ALPES;87741181;MONTMELIAN;Poste de vente guichet;73800;Oui;Oui;Oui
FRANCE;GARE SNCF - 74200  THONON LES BAINS RUE DE LA GARE;THONON-LES-BAINS;AUVERGNE- RHONE ALPES;87745646;THONON LES BAINS;Automates TER;74200;Oui;Oui;Non
FRANCE;PLACE DE LA GARE PLACE DE LA GARE;AIGUEBELLE;AUVERGNE- RHONE ALPES;87741256;AIGUEBELLE;Automates TER;73220;Oui;Non;Non
FRANCE;P. DE LA GARE  74225  RUMILLY PLACE DE LA GARE;RUMILLY;AUVERGNE- RHONE ALPES;87746149;RUMILLY;Automates TER;74150;Oui;Oui;Non
FRANCE;2, PLACE DE LA GARE 2, PLACE DE LA GARE;ALBERTVILLE;AUVERGNE- RHONE ALPES;87741645;ALBERTVILLE;Automates TER;73200;Oui;Oui;Non
FRANCE;GARE SNCF - 74800  LA ROCHE SUR FORON PLACE DE LA GARE;ROCHE-SUR-FORON;AUVERGNE- RHONE ALPES;87746305;LA ROCHE SUR FORON;Automates TER;74800;Oui;Oui;Non
FRANCE;2, PLACE DE LA GARE 2, PLACE DE LA GARE;ALBERTVILLE;AUVERGNE- RHONE ALPES;87741645;ALBERTVILLE;Automates TGV-Intercités;73200;Oui;Non;Non
FRANCE;GARE SNCF - 74130  BONNEVILLE PLACE DE LA GARE;BONNEVILLE;AUVERGNE- RHONE ALPES;87746339;BONNEVILLE;Automates TER;74130;Oui;Oui;Non
FRANCE;2, PLACE DE LA GARE 2, PLACE DE LA GARE;ALBERTVILLE;AUVERGNE- RHONE ALPES;87741645;ALBERTVILLE;Poste de vente guichet;73200;Oui;Oui;Oui
FRANCE;18 AV DE LA GARE  74256  SALLANCHES RUE JEANNE D'ARC;SALLANCHES;AUVERGNE- RHONE ALPES;87746438;SALLANCHES-COMBLOUX-MEGEVE;Poste de vente guichet;74700;Oui;Oui;Oui
FRANCE;134 RUE GREFFIE DE BELLECOMBE  73181  MOUTIERS RUE GREYFFIÉ DE BELLECOMBE;MOÛTIERS;AUVERGNE- RHONE ALPES;87741728;MOUTIERS SALINS BRIDES L BAINS;Poste de vente guichet;73600;Oui;Oui;Oui
FRANCE;GARE DE SAINT GERVAIS IMPASSE DES 2 GARES;SAINT-GERVAIS-LES-BAINS;AUVERGNE- RHONE ALPES;87746479;ST GERVAIS LES BAINS LE FAYET;Poste de vente guichet;74170;Oui;Oui;Oui
FRANCE;58 PLACE DE LA GARE  73054  BOURG-SAINT-MAURICE 30 PLACE DE LA GARE;BOURG-SAINT-MAURICE;AUVERGNE- RHONE ALPES;87741793;BOURG ST MAURICE;Poste de vente guichet;73700;Oui;Oui;Oui
FRANCE;VIRIEU SUR BOURBRE GARE;PANISSAGE;AUVERGNE- RHONE ALPES;87747204;VIRIEU SUR BOURBRE;Automates TER;38730;Oui;Non;Non
FRANCE;PLACE VAILLANT COUTURIER;OYONNAX;AUVERGNE- RHONE ALPES;87743534;OYONNAX;Automates TER;1100;Oui;Oui;Non
FRANCE;REAUMONT HALTE RUE DE LA GARE;SAINT-CASSIEN;AUVERGNE- RHONE ALPES;87747279;REAUMONT ST CASSIEN;Automates TER;38140;Oui;Non;Non
FRANCE;PLACE DE LA GARE;ANNEMASSE;AUVERGNE- RHONE ALPES;87745497;ANNEMASSE;Automates TER;74100;Oui;Non;Non
FRANCE;2 PLACE P. SEMARD  38563  VOIRON AVENUE LÉON ET JOANNY TARDY;VOIRON;AUVERGNE- RHONE ALPES;87747287;VOIRON;Automates TGV-Intercités;38500;Oui;Non;Non
FRANCE;GARE SNCF - 74200  THONON LES BAINS RUE DE LA GARE;THONON-LES-BAINS;AUVERGNE- RHONE ALPES;87745646;THONON LES BAINS;Automates TER;74200;Oui;Non;Non
FRANCE;1 RUE DU BONNAIS  38382  SAINT-EGREVE 3 RUE BONNAIS;SAINT-ÉGRÈVE;AUVERGNE- RHONE ALPES;87747352;ST EGREVE ST ROBERT;Automates TER;38120;Oui;Non;Non
FRANCE;PLACE DE LA GARE;ANNECY;AUVERGNE- RHONE ALPES;87746008;ANNECY;Automates TER;74000;Oui;Oui;Non
FRANCE;GARE SNCF AVENUE DE LA GARE;GIÈRES;AUVERGNE- RHONE ALPES;87747402;GRENOBLE UNIVERSITES GIERES;Poste de vente guichet;38610;Oui;Oui;Oui
FRANCE;P. DE LA GARE  74225  RUMILLY PLACE DE LA GARE;RUMILLY;AUVERGNE- RHONE ALPES;87746149;RUMILLY;Poste de vente guichet;74150;Oui;Oui;Oui
FRANCE;PLACE DE CORNAVIN;GENEVE;AUVERGNE- RHONE ALPES;87748905;GENEVE VOYAGEURS;Automates TER;1201;Oui;Non;Non
FRANCE;GARE SNCF - 74570  GROISY 8 RUE DE LA GARE;GROISY;AUVERGNE- RHONE ALPES;87746248;GROISY THORENS LA CAILLE;Poste de vente guichet;74570;Oui;Oui;Oui
FRANCE;38 RUE DENIS PAPIN;VALENCE;AUVERGNE- RHONE ALPES;87761007;VALENCE VILLE;Automates TGV-Intercités;26000;Oui;Non;Non
FRANCE;GARE SNCF - 74130  MARIGNIER 134 AVENUE DE LA GARE;MARIGNIER;AUVERGNE- RHONE ALPES;87746347;MARIGNIER;Automates TER;74970;Oui;Non;Non
FRANCE;GARE SNCF - 26600  TAIN L HERMITAGE 30 AVENUE DOCTEUR PAUL DURAND;TAIN-L'HERMITAGE;AUVERGNE- RHONE ALPES;87761163;TAIN;Automates TER;26600;Oui;Oui;Non
FRANCE;18 AV DE LA GARE  74256  SALLANCHES RUE JEANNE D'ARC;SALLANCHES;AUVERGNE- RHONE ALPES;87746438;SALLANCHES-COMBLOUX-MEGEVE;Automates TER;74700;Oui;Oui;Non
FRANCE;LOMBARD;L ISLE D ABEAU;AUVERGNE- RHONE ALPES;87761239;L'ISLE D'ABEAU;Automates TER;38080;Oui;Oui;Non
FRANCE;140 RUE DE BELLECOMBE  74220  REIGNIER RUE DE BELLECOMBE;REIGNIER-ÉSERY;AUVERGNE- RHONE ALPES;87746511;REIGNIER;Automates TER;74930;Oui;Oui;Non
FRANCE;3 PLACE GARE  38416  SAINT-MARCELLIN BOULEVARD DE LA GARE;SAINT-MARCELLIN;AUVERGNE- RHONE ALPES;87761718;ST MARCELLIN ISERE;Automates TER;38160;Oui;Oui;Non
FRANCE;LE GRAND LEMPS GARE;GRAND-LEMPS;AUVERGNE- RHONE ALPES;87747220;LE GRAND LEMPS;Automates TER;38690;Oui;Non;Non
FRANCE;POLIENAS GARE;POLIÉNAS;AUVERGNE- RHONE ALPES;87761742;POLIENAS;Automates TER;38210;Oui;Non;Non
FRANCE;GARE SNCF - 38570  GONCELIN GARE SNCF15 PLACE DE LA GARE;GONCELIN;AUVERGNE- RHONE ALPES;87747477;GONCELIN;Automates TER;38570;Oui;Oui;Non
FRANCE;GARE SNCF - 38210  TULLINS RUE CATALAN;TULLINS;AUVERGNE- RHONE ALPES;87761759;TULLINS FURES;Automates TER;38210;Oui;Oui;Non
FRANCE;RUE DE LA GARE  38314  PONTCHARRA 1 PLACE DE LA GARE;PONTCHARRA;AUVERGNE- RHONE ALPES;87747493;PONTCHARRA SUR BREDA ALLEVARD;Poste de vente guichet;38530;Oui;Oui;Oui
FRANCE;GARE SNCF - 26400  CREST 5 BOULEVARD DU 6 JUIN 1944;CREST;AUVERGNE- RHONE ALPES;87761783;CREST;Automates TER;26400;Oui;Non;Non
FRANCE;AVENUE DE LA GARE - 38800  PONT-DE-CLAIX;PONT-DE-CLAIX;AUVERGNE- RHONE ALPES;87747519;PONT DE CLAIX;Automates TER;38800;Oui;Non;Non
FRANCE;LIEU DIT LE CUGNET MONDRECOURT GARE SNCF DE VALENCE TGVBP 19952 ALIXAN;ALIXAN;AUVERGNE- RHONE ALPES;87763029;VALENCE TGV RHONE-ALPES SUD;Automates TGV-Intercités;26300;Oui;Non;Non
